id links
pseyok ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/555/GCA_000787555.1_Pyoko_1.0/GCA_000787555.1_Pyoko_1.0_genomic.fna.gz
scomax ftp://ftp.ensembl.org/pub/release-94/fasta/scophthalmus_maximus/dna/Scophthalmus_maximus.ASM318616v1.dna.toplevel.fa.gz
diclab ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/689/215/GCA_000689215.1_seabass_V1.0/GCA_000689215.1_seabass_V1.0_genomic.fna.gz
morsax ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/605/GCA_001663605.1_SBDraft1/GCA_001663605.1_SBDraft1_genomic.fna.gz
larcro ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/246/015/GCA_900246015.1_Larimichthys_crocea_chromosome_1.0/GCA_900246015.1_Larimichthys_crocea_chromosome_1.0_genomic.fna.gz
labber ftp://ftp.ensembl.org/pub/release-94/fasta/labrus_bergylta/dna/Labrus_bergylta.BallGen_V1.dna.toplevel.fa.gz
antstr https://datadryad.org/bitstream/handle/10255/dryad.121080/fish_52.scf.fasta.gz
anofim ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/499/045/GCA_000499045.1_AnoFim1.0/GCA_000499045.1_AnoFim1.0_genomic.fna.gz
chaace https://datadryad.org/bitstream/handle/10255/dryad.121091/fish_61.scf.fasta.gz
gasacu ftp://ftp.ensembl.org/pub/release-94/fasta/gasterosteus_aculeatus/dna/Gasterosteus_aculeatus.BROADS1.dna.toplevel.fa.gz
perflu https://datadryad.org/bitstream/handle/10255/dryad.121084/fish_55.scf.fasta.gz
myosco https://datadryad.org/bitstream/handle/10255/dryad.121161/fish_91.scf.fasta.gz
epiaen /projects/454data/in_progress/60teleost/analysis/assemblies/Zuza/Epae.ctg.fasta
spocar https://datadryad.org/bitstream/handle/10255/dryad.121124/fish_81.scf.fasta.gz
molmol ftp://ftp.ensembl.org/pub/release-94/fasta/mola_mola/dna/Mola_mola.ASM169857v1.dna.toplevel.fa.gz
takrub ftp://ftp.ensembl.org/pub/release-94/fasta/takifugu_rubripes/dna/Takifugu_rubripes.FUGU5.dna.toplevel.fa.gz
tetnig ftp://ftp.ensembl.org/pub/release-94/fasta/tetraodon_nigroviridis/dna/Tetraodon_nigroviridis.TETRAODON8.dna.toplevel.fa.gz
lessan https://datadryad.org/bitstream/handle/10255/dryad.121171/fish_96.scf.fasta.gz
persch ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/095/GCA_000787095.1_PS.fa/GCA_000787095.1_PS.fa_genomic.fna.gz
brobar https://datadryad.org/bitstream/handle/10255/dryad.120632/fish_32.scf.fasta.gz
caracu https://datadryad.org/bitstream/handle/10255/dryad.120634/fish_33.scf.fasta.gz
chrchr https://datadryad.org/bitstream/handle/10255/dryad.121143/fish_87.scf.fasta.gz
psefus https://datadryad.org/bitstream/handle/10255/dryad.121154/fish_90.scf.fasta.gz
thualb https://datadryad.org/bitstream/handle/10255/dryad.121132/fish_83.scf.fasta.gz
pamarg ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/985/GCA_000697985.1_PamArg1.0/GCA_000697985.1_PamArg1.0_genomic.fna.gz
typsub https://datadryad.org/bitstream/handle/10255/dryad.120624/fish_27.scf.fasta.gz
pertra https://datadryad.org/bitstream/handle/10255/dryad.120622/fish_26.scf.fasta.gz
synsco https://creskolab.uoregon.edu/pipefish/resources/ssc_2016_12_20_chromlevel.fa.gz
hipcom ftp://ftp.ncbi.nlm.nih.gov/genomes/refseq/vertebrate_other/Hippocampus_comes/all_assembly_versions/GCF_001891065.1_H_comes_QL1_v1/GCF_001891065.1_H_comes_QL1_v1_genomic.fna.gz
esoluc ftp://ftp.ensembl.org/pub/release-94/fasta/esox_lucius/dna/Esox_lucius.Eluc_V3.dna.toplevel.fa.gz
salsal ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/375/GCF_000233375.1_ICSASG_v2/GCF_000233375.1_ICSASG_v2_genomic.fna.gz
osmepe https://datadryad.org/bitstream/handle/10255/dryad.121082/fish_54.scf.fasta.gz
prohya ftp://parrot.genomics.cn/gigadb/pub/10.5524/100001_101000/100262/clearhead_icefish.fa.tar.gz
borant https://datadryad.org/bitstream/handle/10255/dryad.121095/fish_65.scf.fasta.gz
berspl https://datadryad.org/bitstream/handle/10255/dryad.121105/fish_69.scf.fasta.gz
acalue https://datadryad.org/bitstream/handle/10255/dryad.121115/fish_79.scf.fasta.gz
monjap https://datadryad.org/bitstream/handle/10255/dryad.121113/fish_74.scf.fasta.gz
gepdar /projects/cees/in_progress/60teleost/analysis/assemblies/version_2/fish_75/CA/9-terminator/fish_75.ctg.fasta
myrjac https://datadryad.org/bitstream/handle/10255/dryad.120636/fish_34.scf.fasta.gz
holruf https://datadryad.org/bitstream/handle/10255/dryad.120638/fish_35.scf.fasta.gz
bengla https://datadryad.org/bitstream/handle/10255/dryad.121097/fish_66.scf.fasta.gz
gadmor http://www.ebi.ac.uk/ena/data/view/LN845748&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845749&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845750&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845751&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845752&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845753&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845754&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845755&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845756&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845757&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845758&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845759&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845760&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845761&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845762&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845763&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845764&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845765&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845766&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845767&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845768&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845769&display=fasta http://www.ebi.ac.uk/ena/data/view/LN845770&display=fasta
stycho https://datadryad.org/bitstream/handle/10255/dryad.121122/fish_80.scf.fasta.gz
cytros https://datadryad.org/bitstream/handle/10255/dryad.120628/fish_30.scf.fasta.gz
zeufab https://datadryad.org/bitstream/handle/10255/dryad.120626/fish_28.scf.fasta.gz
sclfor ftp://ftp.ensembl.org/pub/release-94/fasta/scleropages_formosus/dna/Scleropages_formosus.ASM162426v1.dna.toplevel.fa.gz
orylat ftp://ftp.ensembl.org/pub/release-94/fasta/oryzias_latipes_hsok/dna/Oryzias_latipes_hsok.ASM223469v1.dna.toplevel.fa.gz
krymar ftp://ftp.ensembl.org/pub/release-94/fasta/kryptolebias_marmoratus/dna/Kryptolebias_marmoratus.ASM164957v1.dna.toplevel.fa.gz
cypvar ftp://ftp.ensembl.org/pub/release-94/fasta/cyprinodon_variegatus/dna/Cyprinodon_variegatus.C_variegatus-1.0.dna.toplevel.fa.gz
funhet ftp://ftp.ensembl.org/pub/release-94/fasta/fundulus_heteroclitus/dna/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.fa.gz
notfur http://www.ebi.ac.uk/ena/data/view/LN609377&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609378&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609379&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609380&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609381&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609382&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609383&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609384&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609385&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609386&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609387&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609388&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609389&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609390&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609391&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609392&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609393&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609394&display=fasta http://www.ebi.ac.uk/ena/data/view/LN609395&display=fasta
poefor ftp://ftp.ensembl.org/pub/release-94/fasta/poecilia_formosa/dna/Poecilia_formosa.PoeFor_5.1.2.dna.toplevel.fa.gz
xipmac ftp://ftp.ensembl.org/pub/release-94/fasta/xiphophorus_maculatus/dna/Xiphophorus_maculatus.X_maculatus-5.0-male.dna.toplevel.fa.gz
parpar https://datadryad.org/bitstream/handle/10255/dryad.121146/fish_88.scf.fasta.gz
ampcit ftp://ftp.ensembl.org/pub/release-94/fasta/amphilophus_citrinellus/dna/Amphilophus_citrinellus.Midas_v5.dna.toplevel.fa.gz
orenil ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/MK/QE/MKQE02/MKQE02.1.fsa_nt.gz ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/MK/QE/MKQE02/MKQE02.2.fsa_nt.gz
metzeb ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/AG/TA/AGTA05/AGTA05.1.fsa_nt.gz ftp://ftp.ncbi.nlm.nih.gov/sra/wgs_aux/AG/TA/AGTA05/AGTA05.2.fsa_nt.gz
andcoe http://cichlid.gurdon.cam.ac.uk/Andinoacara_coeruleopunctatus_final_min1000bp_scaffolds.fa.gz
